"","Place","Year","Bup.patient","Rate.Denom","death","unemploy","Otps"
"512","Burke",2021,902,90485,38,1783,1
"513","Cabarrus",2021,947,216453,51,4809,1
"514","Caldwell",2021,912,82178,33,1733,1
"515","Camden",2021,14,10867,0,178,0
"516","Carteret",2021,500,69473,19,1282,1
"517","Caswell",2021,95,22604,0,503,0
"518","Catawba",2021,1405,159551,67,3564,2
"519","Chatham",2021,220,74470,22,1297,1
"520","Cherokee",2021,344,28612,15,526,0
"521","Chowan",2021,38,13943,1,272,0
"522","Clay",2021,67,11231,4,195,1
"523","Cleveland",2021,782,97947,11,2535,1
"524","Columbus",2021,793,55508,29,1406,0
"525","Craven",2021,697,102139,51,1904,1
"526","Cumberland",2021,1188,335509,150,8620,2
"527","Currituck",2021,65,27763,6,583,0
"528","Dare",2021,300,37009,9,1169,1
"529","Davidson",2021,929,167609,91,3588,1
"530","Davie",2021,272,42846,16,861,0
"531","Duplin",2021,221,58741,12,1063,0
"532","Durham",2021,1401,321488,80,7167,2
"533","Edgecombe",2021,241,51472,15,1729,0
"534","Forsyth",2021,1397,382295,109,8998,2
"535","Franklin",2021,295,69685,14,1509,0
"536","Gaston",2021,1924,224529,34,5657,2
"537","Gates",2021,20,11562,3,214,0
"538","Graham",2021,142,8441,3,208,0
"539","Granville",2021,291,60443,18,1177,1
"540","Greene",2021,63,21069,3,384,0
"541","Guilford",2021,1660,537174,173,14296,3
"542","Halifax",2021,199,50010,11,1432,1
"543","Harnett",2021,747,135976,45,2799,1
"544","Haywood",2021,705,62317,19,1225,2
"545","Henderson",2021,714,117417,22,2158,1
"546","Hertford",2021,178,23677,2,556,1
"547","Hoke",2021,187,55234,13,1280,0
"548","Hyde",2021,25,4937,0,115,0
"549","Iredell",2021,1264,181806,28,4131,2
"550","Jackson",2021,296,43938,14,877,0
"551","Johnston",2021,727,209339,41,4273,1
"552","Jones",2021,75,9419,1,176,0
"553","Lee",2021,588,61779,31,1366,1
"554","Lenoir",2021,250,55949,15,1332,0
"555","Lincoln",2021,648,86111,24,1784,0
"556","Macon",2021,257,35858,14,897,1
"557","Madison",2021,149,21755,4,644,0
"558","Martin",2021,155,22440,5,411,0
"559","McDowell",2021,488,45756,14,477,1
"560","Mecklenburg",2021,1849,1110356,169,30288,4
"561","Mitchell",2021,384,14964,4,305,0
"562","Montgomery",2021,260,27173,18,515,0
"563","Moore",2021,672,100880,18,1836,1
"564","Nash",2021,416,94298,27,2659,1
"565","New Hanover",2021,1793,234473,66,5197,2
"566","Northampton",2021,31,19483,2,447,0
"567","Onslow",2021,1069,197938,52,3338,0
"568","Orange",2021,525,148476,16,2738,1
"569","Pamlico",2021,87,12726,8,227,0
"570","Pasquotank",2021,119,39824,16,876,1
"571","Pender",2021,522,63060,15,1225,0
"572","Perquimans",2021,40,13463,4,256,0
"573","Person",2021,427,39490,5,913,0
"574","Pitt",2021,1101,180742,42,4398,3
"575","Polk",2021,123,20724,1,422,0
"576","Randolph",2021,802,143667,77,2976,0
"577","Richmond",2021,728,44829,25,1189,0
"578","Robeson",2021,1307,130625,93,3643,1
"579","Rockingham",2021,737,91010,44,2135,1
"580","Rowan",2021,1084,142088,54,3239,1
"581","Rutherford",2021,476,67029,16,1556,0
"582","Sampson",2021,290,63531,16,1251,0
"583","Scotland",2021,341,34823,14,1055,0
"584","Stanly",2021,462,62806,18,1284,0
"585","Stokes",2021,290,45591,26,886,0
"586","Surry",2021,695,71783,16,1393,0
"587","Swain",2021,316,14271,4,308,0
"588","Transylvania",2021,366,34385,3,577,0
"589","Tyrrell",2021,14,4016,1,90,0
"590","Union",2021,620,239859,32,4802,1
"591","Vance",2021,336,44535,13,1323,1
"592","Wake",2021,2917,1111761,148,23646,7
"593","Warren",2021,59,19731,3,496,0
"594","Washington",2021,63,11580,3,296,0
"595","Watauga",2021,199,56177,5,1039,1
"596","Wayne",2021,375,123131,21,2535,1
"597","Wilkes",2021,946,68412,15,1279,1
"598","Wilson",2021,236,81801,22,2251,1
"599","Yadkin",2021,365,37667,14,722,0
"600","Yancey",2021,297,18069,2,343,0
